Complaint_ID,Complaint_Text,Category,Department,State,City,Submission_Date,Status,Priority,Pending_Days,Resolution_Date,Escalated,Feedback_Rating
IND-CMP-0013,My certificate application has remained pending for 33 days without a clear update.,Certificates,Revenue Department,West Bengal,Chennai,2025-08-19,In Progress,Medium,33,,0,
IND-CMP-0014,Garbage collection has been irregular for 100 days and waste is accumulating.,Sanitation,Municipal Sanitation Department,Kerala,Bhopal,2024-01-12,Resolved,High,0,2024-02-28,0,3
IND-CMP-0015,Repeated power-related service interruptions have affected residents for 119 days.,Electricity,Electricity Department,Gujarat,Kochi,2024-11-24,Resolved,High,0,2025-01-20,0,3
IND-CMP-0016,The local public health facility is facing a service delay and residents need assistance.,Public Health,Public Health Department,Maharashtra,Kolkata,2025-01-26,In Progress,High,40,,0,
IND-CMP-0017,Street electricity infrastructure in our area has not been functioning properly for 116 days.,Electricity,Electricity Department,Telangana,Kolkata,2024-07-07,Resolved,High,0,2024-10-27,0,4
IND-CMP-0018,The public area has not been cleaned regularly and sanitation conditions are poor.,Sanitation,Municipal Sanitation Department,Gujarat,Kochi,2025-06-30,Resolved,Medium,0,2025-07-14,0,2
IND-CMP-0019,Public transport service is irregular and commuters are facing repeated delays.,Public Transport,Transport Department,Kerala,Jaipur,2026-05-02,Escalated,Medium,56,,1,
IND-CMP-0020,My welfare scheme application has remained pending for 96 days.,Welfare Scheme,Social Welfare Department,Andhra Pradesh,Lucknow,2025-05-22,Pending,High,96,,0,
IND-CMP-0021,My certificate application has remained pending for 72 days without a clear update.,Certificates,Revenue Department,Uttar Pradesh,Bengaluru,2025-01-24,Resolved,Medium,0,2025-02-24,0,5
IND-CMP-0022,Public transport service is irregular and commuters are facing repeated delays.,Public Transport,Transport Department,Tamil Nadu,Jaipur,2024-10-14,In Progress,Low,1,,0,
IND-CMP-0023,Garbage collection has been irregular for 50 days and waste is accumulating.,Sanitation,Municipal Sanitation Department,Maharashtra,Bengaluru,2025-09-18,Resolved,Medium,0,2025-10-09,0,2
IND-CMP-0024,Public transport service is irregular and commuters are facing repeated delays.,Public Transport,Transport Department,Maharashtra,Chennai,2024-08-23,In Progress,Low,10,,0,
IND-CMP-0025,The local public health facility is facing a service delay and residents need assistance.,Public Health,Public Health Department,Uttar Pradesh,Chennai,2025-09-22,In Progress,High,13,,0,
IND-CMP-0026,The scheduled public transport service has been unreliable for 65 days.,Public Transport,Transport Department,Karnataka,Bhopal,2025-03-19,Resolved,Medium,0,2025-04-19,0,3
IND-CMP-0027,Several public street lights are not functioning and require maintenance.,Street Lighting,Municipal Engineering Department,West Bengal,Visakhapatnam,2024-06-19,In Progress,High,76,,0,
IND-CMP-0028,Public transport service is irregular and commuters are facing repeated delays.,Public Transport,Transport Department,Gujarat,Visakhapatnam,2025-10-20,Escalated,Low,19,,1,
IND-CMP-0029,There has been no regular water supply in our area for 117 days.,Water Supply,Water Supply Department,Karnataka,Jaipur,2025-05-08,In Progress,High,117,,0,
IND-CMP-0030,The public area has not been cleaned regularly and sanitation conditions are poor.,Sanitation,Municipal Sanitation Department,Telangana,Mumbai,2025-07-13,In Progress,Medium,55,,0,
IND-CMP-0031,Street lights in the locality have not been working for 5 days.,Street Lighting,Municipal Engineering Department,Andhra Pradesh,Ahmedabad,2024-11-30,Pending,Low,5,,0,
IND-CMP-0032,Public transport service is irregular and commuters are facing repeated delays.,Public Transport,Transport Department,Tamil Nadu,Bhopal,2025-01-13,Pending,Medium,44,,0,
IND-CMP-0033,Repeated power-related service interruptions have affected residents for 90 days.,Electricity,Electricity Department,West Bengal,Visakhapatnam,2025-03-21,Resolved,High,0,2025-03-25,0,4
IND-CMP-0034,The public area has not been cleaned regularly and sanitation conditions are poor.,Sanitation,Municipal Sanitation Department,Karnataka,Mumbai,2025-06-03,Resolved,High,0,2025-09-02,0,3
IND-CMP-0035,The scheduled public transport service has been unreliable for 96 days.,Public Transport,Transport Department,Karnataka,Mumbai,2024-01-02,Resolved,High,0,2024-01-06,0,4
IND-CMP-0036,Public transport service is irregular and commuters are facing repeated delays.,Public Transport,Transport Department,Tamil Nadu,Ahmedabad,2025-04-12,Pending,High,105,,0,
IND-CMP-0037,My certificate application has remained pending for 91 days without a clear update.,Certificates,Revenue Department,Maharashtra,Patna,2024-10-20,Escalated,High,91,,1,
IND-CMP-0038,My welfare scheme application has remained pending for 88 days.,Welfare Scheme,Social Welfare Department,Tamil Nadu,Chennai,2025-03-25,Resolved,High,0,2025-04-21,0,1
IND-CMP-0039,The benefit related to my welfare application has not been processed within the expected time.,Welfare Scheme,Social Welfare Department,West Bengal,Kolkata,2026-03-25,Resolved,Low,0,2026-04-04,0,5
IND-CMP-0040,My certificate application has remained pending for 43 days without a clear update.,Certificates,Revenue Department,West Bengal,Bhopal,2024-02-22,Resolved,Medium,0,2024-03-05,0,2
IND-CMP-0041,My certificate application has remained pending for 85 days without a clear update.,Certificates,Revenue Department,Andhra Pradesh,Patna,2025-10-19,Pending,High,85,,0,
IND-CMP-0042,There has been no regular water supply in our area for 89 days.,Water Supply,Water Supply Department,Maharashtra,Chennai,2024-10-09,In Progress,High,89,,0,
IND-CMP-0043,Drinking water supply is irregular and residents are facing difficulty for 46 days.,Water Supply,Water Supply Department,West Bengal,Kolkata,2025-05-25,Escalated,Medium,46,,1,
IND-CMP-0044,There has been no regular water supply in our area for 73 days.,Water Supply,Water Supply Department,Bihar,Kolkata,2025-01-09,Pending,Medium,73,,0,
IND-CMP-0045,The public area has not been cleaned regularly and sanitation conditions are poor.,Sanitation,Municipal Sanitation Department,Rajasthan,Bhopal,2025-11-27,Escalated,Low,23,,1,
IND-CMP-0046,Street electricity infrastructure in our area has not been functioning properly for 63 days.,Electricity,Electricity Department,Rajasthan,Ahmedabad,2026-05-12,Pending,Medium,63,,0,
IND-CMP-0047,The local public health facility is facing a service delay and residents need assistance.,Public Health,Public Health Department,Andhra Pradesh,Kochi,2025-07-12,Resolved,High,0,2025-07-25,0,5
IND-CMP-0048,Garbage collection has been irregular for 33 days and waste is accumulating.,Sanitation,Municipal Sanitation Department,Karnataka,Kolkata,2024-01-22,Pending,Medium,33,,0,
IND-CMP-0049,Drinking water supply is irregular and residents are facing difficulty for 5 days.,Water Supply,Water Supply Department,Andhra Pradesh,Patna,2024-09-24,Resolved,Low,0,2024-09-29,0,2
IND-CMP-0050,There has been no regular water supply in our area for 13 days.,Water Supply,Water Supply Department,Tamil Nadu,Bengaluru,2025-08-27,Resolved,Low,0,2025-08-28,0,3
IND-CMP-0051,Drinking water supply is irregular and residents are facing difficulty for 11 days.,Water Supply,Water Supply Department,Karnataka,Hyderabad,2024-03-24,Resolved,Low,0,2024-03-28,0,1
IND-CMP-0052,Several public street lights are not functioning and require maintenance.,Street Lighting,Municipal Engineering Department,Rajasthan,Visakhapatnam,2025-06-27,In Progress,High,103,,0,
IND-CMP-0053,There has been a delay in processing my requested government certificate.,Certificates,Revenue Department,Tamil Nadu,Bengaluru,2025-03-18,In Progress,High,113,,0,
IND-CMP-0054,Several public street lights are not functioning and require maintenance.,Street Lighting,Municipal Engineering Department,Rajasthan,Jaipur,2025-06-25,Resolved,Medium,0,2025-07-27,0,3
IND-CMP-0055,The public area has not been cleaned regularly and sanitation conditions are poor.,Sanitation,Municipal Sanitation Department,Telangana,Bengaluru,2026-03-12,Pending,Medium,69,,0,
IND-CMP-0056,Street lights in the locality have not been working for 37 days.,Street Lighting,Municipal Engineering Department,Karnataka,Kolkata,2026-04-06,In Progress,Medium,37,,0,
IND-CMP-0057,The drainage system needs cleaning because wastewater is not flowing properly.,Drainage,Municipal Engineering Department,Karnataka,Visakhapatnam,2024-06-18,Escalated,Low,21,,1,
IND-CMP-0058,There has been a delay in processing my requested government certificate.,Certificates,Revenue Department,Uttar Pradesh,Mumbai,2025-12-09,Pending,Medium,30,,0,
IND-CMP-0059,The benefit related to my welfare application has not been processed within the expected time.,Welfare Scheme,Social Welfare Department,Gujarat,Kolkata,2025-07-29,In Progress,Medium,70,,0,
IND-CMP-0060,The scheduled public transport service has been unreliable for 10 days.,Public Transport,Transport Department,Uttar Pradesh,Bhopal,2025-08-16,Resolved,Low,0,2025-08-17,0,3
IND-CMP-0061,Street electricity infrastructure in our area has not been functioning properly for 95 days.,Electricity,Electricity Department,Bihar,Chennai,2026-04-05,Resolved,High,0,2026-06-17,0,3
IND-CMP-0062,Street lights in the locality have not been working for 89 days.,Street Lighting,Municipal Engineering Department,Tamil Nadu,Bhopal,2026-01-02,Pending,High,89,,0,
IND-CMP-0063,The local public health facility is facing a service delay and residents need assistance.,Public Health,Public Health Department,Gujarat,Patna,2024-05-01,In Progress,Medium,57,,0,
IND-CMP-0064,Drainage blockage is causing water accumulation in the locality for 17 days.,Drainage,Municipal Engineering Department,Bihar,Ahmedabad,2024-12-28,Resolved,Low,0,2025-01-03,0,1
IND-CMP-0065,Street lights in the locality have not been working for 35 days.,Street Lighting,Municipal Engineering Department,Uttar Pradesh,Mumbai,2025-06-30,Resolved,Medium,0,2025-07-21,0,5
IND-CMP-0066,Public transport service is irregular and commuters are facing repeated delays.,Public Transport,Transport Department,Rajasthan,Bengaluru,2025-07-19,In Progress,Medium,44,,0,
IND-CMP-0067,Basic public health services have not been available as expected for 114 days.,Public Health,Public Health Department,Tamil Nadu,Mumbai,2024-10-16,Resolved,High,0,2024-12-24,0,2
IND-CMP-0068,Repeated power-related service interruptions have affected residents for 68 days.,Electricity,Electricity Department,Tamil Nadu,Visakhapatnam,2025-08-24,Resolved,High,0,2025-09-26,0,2
IND-CMP-0069,Garbage collection has been irregular for 41 days and waste is accumulating.,Sanitation,Municipal Sanitation Department,Tamil Nadu,Mumbai,2024-01-30,Resolved,Medium,0,2024-02-17,0,1
IND-CMP-0070,My certificate application has remained pending for 112 days without a clear update.,Certificates,Revenue Department,Karnataka,Ahmedabad,2025-05-14,In Progress,High,112,,0,
IND-CMP-0071,My certificate application has remained pending for 51 days without a clear update.,Certificates,Revenue Department,Andhra Pradesh,Visakhapatnam,2024-07-27,Pending,Medium,51,,0,
IND-CMP-0072,My welfare scheme application has remained pending for 113 days.,Welfare Scheme,Social Welfare Department,Rajasthan,Lucknow,2025-04-09,Resolved,High,0,2025-07-30,0,4
IND-CMP-0073,Street electricity infrastructure in our area has not been functioning properly for 120 days.,Electricity,Electricity Department,Kerala,Kolkata,2026-03-04,In Progress,High,120,,0,
IND-CMP-0074,There has been no regular water supply in our area for 94 days.,Water Supply,Water Supply Department,Maharashtra,Ahmedabad,2024-10-13,Pending,High,94,,0,
IND-CMP-0075,There has been no regular water supply in our area for 104 days.,Water Supply,Water Supply Department,Uttar Pradesh,Bengaluru,2024-10-09,Resolved,High,0,2024-10-18,0,1
IND-CMP-0076,My certificate application has remained pending for 55 days without a clear update.,Certificates,Revenue Department,Telangana,Ahmedabad,2025-08-19,In Progress,Medium,55,,0,
IND-CMP-0077,Drinking water supply is irregular and residents are facing difficulty for 35 days.,Water Supply,Water Supply Department,Bihar,Jaipur,2026-01-07,In Progress,Medium,35,,0,
IND-CMP-0078,Street electricity infrastructure in our area has not been functioning properly for 31 days.,Electricity,Electricity Department,Gujarat,Ahmedabad,2025-03-01,Resolved,Medium,0,2025-03-07,0,5
IND-CMP-0079,The public area has not been cleaned regularly and sanitation conditions are poor.,Sanitation,Municipal Sanitation Department,Tamil Nadu,Jaipur,2025-09-21,Escalated,High,112,,1,
IND-CMP-0080,There has been no regular water supply in our area for 64 days.,Water Supply,Water Supply Department,Rajasthan,Bengaluru,2025-11-01,Pending,Medium,64,,0,
IND-CMP-0081,There has been a delay in processing my requested government certificate.,Certificates,Revenue Department,Rajasthan,Chennai,2026-03-11,In Progress,Medium,57,,0,
IND-CMP-0082,The benefit related to my welfare application has not been processed within the expected time.,Welfare Scheme,Social Welfare Department,Kerala,Kochi,2024-07-13,In Progress,Low,8,,0,
IND-CMP-0083,Street electricity infrastructure in our area has not been functioning properly for 55 days.,Electricity,Electricity Department,Madhya Pradesh,Ahmedabad,2025-08-08,Pending,Medium,55,,0,
IND-CMP-0084,Garbage collection has been irregular for 113 days and waste is accumulating.,Sanitation,Municipal Sanitation Department,Telangana,Bhopal,2026-01-28,Pending,High,113,,0,
IND-CMP-0085,The road surface is badly damaged and needs urgent maintenance.,Road Damage,Public Works Department,Uttar Pradesh,Bengaluru,2024-11-05,Resolved,High,0,2025-01-21,0,4
IND-CMP-0086,The scheduled public transport service has been unreliable for 73 days.,Public Transport,Transport Department,Karnataka,Mumbai,2025-06-27,Resolved,Medium,0,2025-08-05,0,3
IND-CMP-0087,Repeated power-related service interruptions have affected residents for 17 days.,Electricity,Electricity Department,West Bengal,Patna,2024-04-01,In Progress,Low,17,,0,
IND-CMP-0088,Public transport service is irregular and commuters are facing repeated delays.,Public Transport,Transport Department,Andhra Pradesh,Jaipur,2026-05-17,In Progress,Medium,45,,0,
IND-CMP-0089,There has been no regular water supply in our area for 30 days.,Water Supply,Water Supply Department,Karnataka,Patna,2024-07-13,Resolved,Medium,0,2024-07-15,0,1
IND-CMP-0090,Street lights in the locality have not been working for 79 days.,Street Lighting,Municipal Engineering Department,Kerala,Ahmedabad,2024-11-26,Resolved,High,0,2025-01-14,0,1
IND-CMP-0091,Garbage collection has been irregular for 92 days and waste is accumulating.,Sanitation,Municipal Sanitation Department,Andhra Pradesh,Visakhapatnam,2024-08-28,Resolved,High,0,2024-09-03,0,5
IND-CMP-0092,Repeated power-related service interruptions have affected residents for 44 days.,Electricity,Electricity Department,Kerala,Chennai,2024-10-13,In Progress,Medium,44,,0,
IND-CMP-0093,Garbage collection has been irregular for 34 days and waste is accumulating.,Sanitation,Municipal Sanitation Department,West Bengal,Bengaluru,2024-08-02,Escalated,Medium,34,,1,
IND-CMP-0094,Street electricity infrastructure in our area has not been functioning properly for 82 days.,Electricity,Electricity Department,Andhra Pradesh,Chennai,2025-08-24,Resolved,High,0,2025-09-13,0,4
IND-CMP-0095,Basic public health services have not been available as expected for 32 days.,Public Health,Public Health Department,Gujarat,Chennai,2025-01-15,In Progress,High,32,,0,
IND-CMP-0096,The scheduled public transport service has been unreliable for 80 days.,Public Transport,Transport Department,Bihar,Chennai,2025-11-13,In Progress,High,80,,0,
IND-CMP-0097,There has been no regular water supply in our area for 104 days.,Water Supply,Water Supply Department,Uttar Pradesh,Patna,2025-05-13,Pending,High,104,,0,
IND-CMP-0098,Drinking water supply is irregular and residents are facing difficulty for 34 days.,Water Supply,Water Supply Department,West Bengal,Patna,2025-01-29,In Progress,Medium,34,,0,
IND-CMP-0099,My welfare scheme application has remained pending for 19 days.,Welfare Scheme,Social Welfare Department,Uttar Pradesh,Chennai,2024-08-04,In Progress,Low,19,,0,
IND-CMP-0100,Several public street lights are not functioning and require maintenance.,Street Lighting,Municipal Engineering Department,Andhra Pradesh,Mumbai,2025-12-04,Pending,Medium,58,,0,
IND-CMP-0101,Garbage collection has been irregular for 32 days and waste is accumulating.,Sanitation,Municipal Sanitation Department,Telangana,Jaipur,2024-11-24,Resolved,Medium,0,2024-11-26,0,1
IND-CMP-0102,Drinking water supply is irregular and residents are facing difficulty for 66 days.,Water Supply,Water Supply Department,Bihar,Lucknow,2026-05-18,In Progress,Medium,66,,0,
IND-CMP-0103,The scheduled public transport service has been unreliable for 70 days.,Public Transport,Transport Department,Kerala,Jaipur,2024-01-28,Pending,Medium,70,,0,
IND-CMP-0104,Street lights in the locality have not been working for 69 days.,Street Lighting,Municipal Engineering Department,Madhya Pradesh,Patna,2024-04-18,Pending,Medium,69,,0,
IND-CMP-0105,The public area has not been cleaned regularly and sanitation conditions are poor.,Sanitation,Municipal Sanitation Department,Gujarat,Jaipur,2025-02-23,Pending,High,84,,0,
IND-CMP-0106,Street electricity infrastructure in our area has not been functioning properly for 44 days.,Electricity,Electricity Department,West Bengal,Chennai,2024-07-06,In Progress,High,44,,0,
IND-CMP-0107,Basic public health services have not been available as expected for 55 days.,Public Health,Public Health Department,Karnataka,Visakhapatnam,2025-05-25,Pending,Medium,55,,0,
IND-CMP-0108,There has been a delay in processing my requested government certificate.,Certificates,Revenue Department,Rajasthan,Hyderabad,2026-04-22,Resolved,Low,0,2026-04-25,0,1
IND-CMP-0109,There has been a delay in processing my requested government certificate.,Certificates,Revenue Department,Bihar,Jaipur,2026-02-06,Resolved,High,0,2026-03-09,0,1
IND-CMP-0110,The drainage system needs cleaning because wastewater is not flowing properly.,Drainage,Municipal Engineering Department,Kerala,Kochi,2025-12-31,In Progress,High,37,,0,
IND-CMP-0111,Several public street lights are not functioning and require maintenance.,Street Lighting,Municipal Engineering Department,Tamil Nadu,Jaipur,2025-10-08,Pending,Medium,58,,0,
IND-CMP-0112,The road surface is badly damaged and needs urgent maintenance.,Road Damage,Public Works Department,Bihar,Hyderabad,2025-10-08,Resolved,Low,0,2025-10-13,0,5
IND-CMP-0113,There has been a delay in processing my requested government certificate.,Certificates,Revenue Department,Kerala,Patna,2026-05-31,Pending,Low,17,,0,
IND-CMP-0114,The scheduled public transport service has been unreliable for 87 days.,Public Transport,Transport Department,West Bengal,Jaipur,2024-09-04,Pending,High,87,,0,
IND-CMP-0115,Repeated power-related service interruptions have affected residents for 97 days.,Electricity,Electricity Department,Gujarat,Jaipur,2025-07-19,Resolved,High,0,2025-09-24,0,1
IND-CMP-0116,My certificate application has remained pending for 28 days without a clear update.,Certificates,Revenue Department,Gujarat,Visakhapatnam,2025-08-19,Resolved,Medium,0,2025-08-31,0,2
IND-CMP-0117,There has been no regular water supply in our area for 66 days.,Water Supply,Water Supply Department,Uttar Pradesh,Kolkata,2024-05-25,Resolved,Medium,0,2024-07-29,0,3
IND-CMP-0118,Garbage collection has been irregular for 1 days and waste is accumulating.,Sanitation,Municipal Sanitation Department,Bihar,Chennai,2025-02-19,In Progress,Low,1,,0,
IND-CMP-0119,My certificate application has remained pending for 90 days without a clear update.,Certificates,Revenue Department,Rajasthan,Mumbai,2025-06-03,In Progress,High,90,,0,
IND-CMP-0120,Repeated power-related service interruptions have affected residents for 62 days.,Electricity,Electricity Department,Bihar,Chennai,2025-07-31,Pending,Medium,62,,0,
IND-CMP-0121,Street electricity infrastructure in our area has not been functioning properly for 49 days.,Electricity,Electricity Department,Telangana,Patna,2026-03-25,Pending,High,49,,0,
IND-CMP-0122,Drinking water supply is irregular and residents are facing difficulty for 103 days.,Water Supply,Water Supply Department,West Bengal,Jaipur,2024-09-16,In Progress,High,103,,0,
IND-CMP-0123,Street electricity infrastructure in our area has not been functioning properly for 120 days.,Electricity,Electricity Department,Madhya Pradesh,Bhopal,2024-11-16,Resolved,High,0,2025-02-11,0,4
IND-CMP-0124,There has been no regular water supply in our area for 3 days.,Water Supply,Water Supply Department,Kerala,Chennai,2024-07-04,Pending,Low,3,,0,
IND-CMP-0125,The public area has not been cleaned regularly and sanitation conditions are poor.,Sanitation,Municipal Sanitation Department,Andhra Pradesh,Bhopal,2025-10-31,Resolved,High,0,2025-12-19,0,4
IND-CMP-0126,The public area has not been cleaned regularly and sanitation conditions are poor.,Sanitation,Municipal Sanitation Department,Bihar,Mumbai,2025-11-24,Pending,High,79,,0,
IND-CMP-0127,The benefit related to my welfare application has not been processed within the expected time.,Welfare Scheme,Social Welfare Department,Gujarat,Bhopal,2024-03-11,In Progress,Medium,64,,0,
IND-CMP-0128,A damaged road with potholes near the residential area has not been repaired for 49 days.,Road Damage,Public Works Department,Gujarat,Jaipur,2024-07-09,Resolved,Medium,0,2024-08-21,0,5
IND-CMP-0129,The road surface is badly damaged and needs urgent maintenance.,Road Damage,Public Works Department,Kerala,Bengaluru,2026-03-02,In Progress,Low,25,,0,
IND-CMP-0130,Repeated power-related service interruptions have affected residents for 40 days.,Electricity,Electricity Department,Uttar Pradesh,Jaipur,2024-07-04,Pending,Medium,40,,0,
IND-CMP-0131,The local public health facility is facing a service delay and residents need assistance.,Public Health,Public Health Department,Maharashtra,Lucknow,2024-08-24,Escalated,Medium,29,,1,
IND-CMP-0132,Street electricity infrastructure in our area has not been functioning properly for 84 days.,Electricity,Electricity Department,Uttar Pradesh,Lucknow,2024-01-19,Escalated,High,84,,1,
IND-CMP-0133,The public area has not been cleaned regularly and sanitation conditions are poor.,Sanitation,Municipal Sanitation Department,Uttar Pradesh,Visakhapatnam,2024-08-31,Pending,Medium,44,,0,
IND-CMP-0134,Street electricity infrastructure in our area has not been functioning properly for 48 days.,Electricity,Electricity Department,Rajasthan,Jaipur,2026-04-07,In Progress,Medium,48,,0,
IND-CMP-0135,The local public health facility is facing a service delay and residents need assistance.,Public Health,Public Health Department,Telangana,Bhopal,2024-06-08,In Progress,High,95,,0,
IND-CMP-0136,There has been no regular water supply in our area for 75 days.,Water Supply,Water Supply Department,Uttar Pradesh,Bengaluru,2025-03-19,Pending,Medium,75,,0,
IND-CMP-0137,Drainage blockage is causing water accumulation in the locality for 15 days.,Drainage,Municipal Engineering Department,Rajasthan,Kochi,2025-07-27,Pending,Low,15,,0,
IND-CMP-0138,My certificate application has remained pending for 108 days without a clear update.,Certificates,Revenue Department,Telangana,Kochi,2025-01-13,In Progress,High,108,,0,
IND-CMP-0139,There has been a delay in processing my requested government certificate.,Certificates,Revenue Department,Telangana,Ahmedabad,2024-10-06,Resolved,Medium,0,2024-11-01,0,3
IND-CMP-0140,Several public street lights are not functioning and require maintenance.,Street Lighting,Municipal Engineering Department,Maharashtra,Lucknow,2026-05-28,Resolved,Low,0,2026-05-30,0,3
IND-CMP-0141,A damaged road with potholes near the residential area has not been repaired for 38 days.,Road Damage,Public Works Department,West Bengal,Bhopal,2026-03-09,Pending,Medium,38,,0,
IND-CMP-0142,Street lights in the locality have not been working for 78 days.,Street Lighting,Municipal Engineering Department,Madhya Pradesh,Bengaluru,2024-01-14,Resolved,High,0,2024-01-17,0,2
IND-CMP-0143,My welfare scheme application has remained pending for 99 days.,Welfare Scheme,Social Welfare Department,Maharashtra,Hyderabad,2026-02-17,Resolved,High,0,2026-04-13,0,3
IND-CMP-0144,Drinking water supply is irregular and residents are facing difficulty for 78 days.,Water Supply,Water Supply Department,Telangana,Mumbai,2025-03-14,Resolved,High,0,2025-04-23,0,2
IND-CMP-0145,My welfare scheme application has remained pending for 59 days.,Welfare Scheme,Social Welfare Department,Tamil Nadu,Chennai,2024-09-22,Pending,Medium,59,,0,
IND-CMP-0146,Garbage collection has been irregular for 90 days and waste is accumulating.,Sanitation,Municipal Sanitation Department,Gujarat,Ahmedabad,2025-09-02,Resolved,High,0,2025-11-06,0,2
IND-CMP-0147,Several public street lights are not functioning and require maintenance.,Street Lighting,Municipal Engineering Department,Tamil Nadu,Kolkata,2025-01-26,Resolved,Medium,0,2025-02-24,0,4
IND-CMP-0148,My certificate application has remained pending for 2 days without a clear update.,Certificates,Revenue Department,Kerala,Chennai,2026-05-01,In Progress,Low,2,,0,
IND-CMP-0149,The drainage system needs cleaning because wastewater is not flowing properly.,Drainage,Municipal Engineering Department,Tamil Nadu,Kolkata,2026-06-13,Pending,High,104,,0,
IND-CMP-0150,The public area has not been cleaned regularly and sanitation conditions are poor.,Sanitation,Municipal Sanitation Department,Rajasthan,Bengaluru,2024-05-04,Pending,Medium,66,,0,
IND-CMP-0151,Public transport service is irregular and commuters are facing repeated delays.,Public Transport,Transport Department,Rajasthan,Kolkata,2024-01-23,Pending,Medium,43,,0,
IND-CMP-0152,The road surface is badly damaged and needs urgent maintenance.,Road Damage,Public Works Department,Bihar,Hyderabad,2025-03-21,Resolved,Low,0,2025-03-26,0,1
IND-CMP-0153,There has been a delay in processing my requested government certificate.,Certificates,Revenue Department,Karnataka,Visakhapatnam,2024-04-15,Escalated,High,101,,1,
IND-CMP-0154,My welfare scheme application has remained pending for 28 days.,Welfare Scheme,Social Welfare Department,Rajasthan,Chennai,2024-07-30,In Progress,Medium,28,,0,
IND-CMP-0155,Garbage collection has been irregular for 62 days and waste is accumulating.,Sanitation,Municipal Sanitation Department,Madhya Pradesh,Hyderabad,2026-06-11,Resolved,Medium,0,2026-06-13,0,1
IND-CMP-0156,The drainage system needs cleaning because wastewater is not flowing properly.,Drainage,Municipal Engineering Department,Madhya Pradesh,Mumbai,2024-04-09,Resolved,Medium,0,2024-04-18,0,4
IND-CMP-0157,The road surface is badly damaged and needs urgent maintenance.,Road Damage,Public Works Department,Tamil Nadu,Jaipur,2025-10-27,Pending,High,107,,0,
IND-CMP-0158,Repeated power-related service interruptions have affected residents for 6 days.,Electricity,Electricity Department,Karnataka,Chennai,2024-11-15,Resolved,Low,0,2024-11-18,0,5
IND-CMP-0159,My welfare scheme application has remained pending for 49 days.,Welfare Scheme,Social Welfare Department,Gujarat,Kochi,2025-05-17,Escalated,Medium,49,,1,
IND-CMP-0160,The benefit related to my welfare application has not been processed within the expected time.,Welfare Scheme,Social Welfare Department,Rajasthan,Mumbai,2026-06-07,In Progress,Low,8,,0,
IND-CMP-0161,Street electricity infrastructure in our area has not been functioning properly for 103 days.,Electricity,Electricity Department,West Bengal,Hyderabad,2025-03-31,Pending,High,103,,0,
IND-CMP-0162,The benefit related to my welfare application has not been processed within the expected time.,Welfare Scheme,Social Welfare Department,Bihar,Lucknow,2025-12-07,In Progress,Medium,53,,0,
IND-CMP-0163,There has been no regular water supply in our area for 36 days.,Water Supply,Water Supply Department,Tamil Nadu,Hyderabad,2025-08-02,Pending,Medium,36,,0,
IND-CMP-0164,Several public street lights are not functioning and require maintenance.,Street Lighting,Municipal Engineering Department,West Bengal,Lucknow,2024-06-29,Resolved,High,0,2024-09-14,0,3
